x	y
476.58875	287.11615
783.77599	-240.18003
866.21263	-182.80976
740.89176	-136.78241
799.52444	-137.24818
765.23085	-199.05479
761.35259	-151.52883
769.81723	-187.99191
741.77083	-208.8288
656.8031	-221.37015
706.22931	-268.98423
727.45355	-264.11576
657.94148	-257.58669
651.08085	-246.96237
727.55186	-215.87628
712.79166	-185.10502
693.63469	-194.69469
719.11814	-187.40087
699.27701	-229.34435
764.00535	-198.80064
753.43486	-201.20975
758.35956	-226.29503
751.27938	-192.68466
750.30766	-212.76651
795.85085	-211.74482
695.87753	-172.7714
781.57828	-217.02933
691.16687	-222.19134
703.61114	-168.93658
683.69397	-218.58382
735.89652	-163.94324
696.01189	-169.94882
663.7898	-204.05345
679.66464	-231.04803
702.84195	-247.32729
703.9459	-280.51802
689.45292	-235.54744
736.91498	-289.44804
727.74676	-264.09594
756.50119	-161.56452
772.85268	-190.00867
773.37286	-300.47433
695.31416	-243.10523
747.56687	-282.71159
747.79469	-240.80304
783.36022	-265.61456
714.47853	-212.33458
733.316	-218.43455
753.55986	-151.37775
806.94737	-171.16346
732.45117	-154.82152
742.85842	-253.85653
749.52057	-157.37129
712.03879	-247.76107
734.19176	-206.4407
810.38107	-208.87379
777.36078	-157.82364
816.47709	-215.14829
813.03948	-238.26187
733.77635	-199.03572
841.93157	-179.27812
809.66396	-219.07805
810.19626	-253.15571
847.9931	-100.03794
828.82139	-204.09786
835.26172	-196.66691
827.98436	-180.58599
810.75172	-191.9707
825.6004	-169.67981
846.61865	-116.32518
867.51966	-150.54878
823.11179	-133.52129
821.05498	-158.10185
839.55848	-111.39167
825.89275	-86.243613
866.55625	-140.8285
793.48766	-128.68706
752.98475	-189.383
759.1088	-175.06722
856.94604	-180.7842
788.31903	-158.38172
817.37069	-218.19716
853.74941	-268.98663
826.89939	-191.34956
827.82059	-208.63435
805.04527	-225.95961
765.04939	-244.41083
834.56467	-152.13183
837.49127	-191.10918
801.48577	-242.00322
822.92301	-207.4121
752.06711	-213.83199
740.76634	-195.57901
807.57394	-190.67481
836.61101	-133.49664
794.73068	-214.37269
805.5946	-150.93961
731.4325	-222.31171
763.80478	-196.33598
702.03648	-259.29763
714.90278	-227.57102
726.29242	-257.93029
663.75201	-221.58847
747.57365	-248.69318
661.7434	-257.18321
677.39204	-323.37877
685.79229	-246.8446
688.06512	-316.66038
765.9963	-269.11689
697.15441	-326.77902
757.04226	-315.1633
678.45449	-312.80694
690.26059	-312.92734
701.9452	-214.29999
754.7498	-253.74409
758.25105	-216.03726
712.49232	-268.41159
704.44399	-192.89572
674.73603	-267.77177
763.11098	-240.46345
701.32186	-220.49437
695.47952	-287.12893
651.49016	-215.23386
686.11987	-263.46967
695.94819	-225.27936
689.49735	-225.09168
663.89713	-213.13983
710.92459	-273.71848
689.52153	-280.31678
634.62568	-259.80911
683.38822	-298.035
620.50888	-366.01692
725.56961	-336.89941
721.53927	-295.83705
714.19063	-331.48229
707.09422	-338.74202
727.36439	-277.05899
708.75114	-325.12656
680.87219	-272.02927
692.63105	-325.70551
750.53351	-320.21768
666.74144	-278.95097
617.06471	-309.66076
616.45226	-305.09093
708.15909	-359.6639
621.1678	-305.56955
600.57553	-299.03653
591.51453	-355.2059
639.3814	-319.75084
664.84327	-344.54646
680.9576	-398.15079
636.45457	-331.22225
712.26716	-391.83454
689.4229	-354.85033
684.71963	-346.8252
682.55414	-333.45994
648.80767	-304.1517
614.29001	-375.46372
650.94481	-323.42792
675.57575	-287.7347
682.3444	-302.5923
620.10725	-407.43795
614.43707	-360.30795
613.7884	-353.96379
665.57171	-383.64972
573.35352	-262.04779
582.45103	-245.55426
592.84343	-270.24227
617.18755	-239.05274
630.54062	-184.99501
578.33922	-178.41093
594.23149	-196.84665
601.73846	-235.99232
567.36751	-225.92519
625.23172	-226.02858
619.43518	-225.70989
556.30205	-285.37762
618.42991	-241.52782
565.52946	-314.31206
523.36243	-231.90689
548.92206	-249.16001
585.87839	-278.52084
576.46029	-296.77683
508.60154	-297.76826
601.28202	-274.97722
613.72606	-194.44893
530.94217	-183.84148
587.4955	-200.27395
575.2324	-275.24607
586.67119	-288.03673
536.05716	-242.11251
512.98282	-161.91913
538.03264	-163.88437
560.79378	-161.78466
599.40648	-162.969
483.83725	-182.55883
550.66738	-218.18246
464.82412	-161.6786
479.52802	-227.35926
518.17239	-249.6102
489.10484	-214.1021
546.80969	-286.92382
482.30199	-204.63682
529.03311	-236.31107
529.76271	-244.13503
549.14983	-285.1443
497.74586	-187.05826
553.9607	-178.39522
519.43818	-268.78222
508.75533	-205.11655
559.62043	-212.5369
594.3012	-163.99504
542.31261	-146.61848
581.05699	-173.52732
524.76642	-143.16155
481.76318	-195.78441
462.4478	-198.5526
576.95648	-215.59688
486.34033	-162.49374
527.9273	-234.03291
509.78413	-197.80082
513.21581	-153.63908
521.49584	-283.16889
460.53496	-229.11765
542.36359	-258.53936
493.79474	-201.14483
577.09129	-240.41883
544.93718	-299.34899
487.09711	-174.41125
504.64351	-256.23185
511.63899	-207.48062
539.11559	-285.55513
522.97645	-230.33917
560.9816	-226.71647
514.55158	-264.65209
551.75758	-198.05909
590.08014	-213.20819
482.95251	-236.52432
511.99345	-258.33457
514.57029	-271.24438
490.99006	-213.53676
439.4931	-155.77028
456.80168	-164.91459
392.73596	-193.50121
451.43548	-304.53248
390.91053	-238.54658
421.12653	-281.88167
475.91362	-301.63267
486.4521	-211.85305
439.60696	-249.37226
445.22564	-207.4258
463.50273	-209.14066
446.49368	-292.27459
436.22399	-193.80131
499.00658	-211.98114
415.71972	-286.78867
384.04699	-276.64707
409.76596	-196.72631
354.15318	-225.6591
468.60301	-198.9482
442.07444	-273.89843
500.8673	-247.85443
595.67389	-203.87925
587.91801	-203.51057
585.82352	-242.32965
624.77637	-174.49049
585.79339	-137.38911
600.39249	-212.35921
563.61358	-177.36552
579.19322	-98.24662
579.66394	-179.78605
538.85602	-94.317064
543.5905	-91.556434
565.01912	-34.518177
525.38515	-67.812007
546.22891	-53.525028
560.69582	-65.549567
568.82268	-135.02
530.88238	-84.380285
535.15158	-105.04475
577.91375	-23.971536
494.04056	-126.74724
494.14575	-59.891646
542.60641	-96.849004
562.44914	-0.25220506
491.4222	-56.537818
533.5868	-25.697722
536.82987	-84.772522
535.10155	-21.003669
488.35284	-60.459132
478.19932	-29.782464
536.27026	31.655356
507.03307	-43.1772
531.79646	-54.792921
500.66824	-58.783121
572.86908	-3.8987718
598.77656	16.795689
596.76599	73.74804
609.52128	59.796559
481.89238	73.052065
548.51643	96.55086
513.9243	49.862952
508.76578	53.057918
562.18724	105.25605
597.8608	74.867366
615.53697	67.274626
605.41548	45.655159
558.46861	119.40592
548.03094	162.83367
567.26477	21.80123
568.01865	53.935534
538.17884	62.436113
557.98221	-26.606756
565.72532	16.723619
442.21199	-50.00985
427.18184	11.371082
478.39003	5.1035935
471.50268	30.008981
494.66642	-37.055777
432.37255	18.310513
504.52196	70.50229
440.76377	20.178751
402.17618	58.954895
422.66082	94.378213
477.58245	-18.216888
381.67186	39.091307
461.27101	111.62745
430.95694	126.43377
432.9303	69.739776
404.98393	78.465816
385.73119	86.215784
372.46982	43.378465
460.25398	85.491585
394.55304	42.609477
412.73348	36.044834
432.5115	58.045929
338.70789	102.07499
302.66466	89.022855
403.22995	72.203584
340.59182	79.767138
347.07526	47.286519
314.05992	30.937283
356.20954	52.224913
300.90209	0.12290739
279.30044	0.34275565
288.46383	50.292261
294.53836	70.959097
280.93411	23.033171
292.87503	88.180741
253.98431	-32.574012
346.44269	69.472304
226.21809	-22.40125
323.09535	-36.418494
292.97825	50.040051
256.06453	64.126569
273.32575	15.216237
258.6741	-40.996255
231.81398	2.3828758
202.42529	29.624224
249.51639	24.897608
264.73999	11.016729
287.4128	68.233374
221.13871	62.34732
256.12191	109.35436
254.87917	87.556054
253.23289	-29.544101
273.38981	23.018531
320.75185	61.767811
296.05801	43.298301
195.62192	71.527035
272.68091	20.871357
221.54783	128.82362
267.50304	133.45062
250.40839	112.0162
258.95569	92.820887
266.11616	129.92697
305.16804	114.11414
270.54159	82.766459
385.19472	108.80511
339.43344	110.13549
330.32802	125.49877
322.07244	105.71915
347.73212	189.60759
244.39931	129.48598
282.89756	165.72365
291.17531	188.87624
246.93381	199.08316
320.68956	125.29331
224.16568	92.497575
267.273	52.584988
136.63345	86.61559
162.19104	74.659125
173.80938	59.044138
156.74082	44.388433
138.10796	49.636581
192.6405	63.68709
168.10525	20.004519
133.39526	57.9078
125.79853	5.402493
133.83403	32.991929
127.61645	-26.089968
66.766746	54.218054
130.4101	-44.782348
178.42815	-12.634925
114.80425	55.270903
149.79232	-42.524025
98.990141	12.637673
106.2411	54.500228
116.22713	75.799679
150.37546	80.10666
136.6362	-11.487731
136.55177	73.716038
90.922619	-23.607073
27.786492	42.960145
51.002787	32.043579
129.35615	40.132541
128.13275	84.057515
145.7531	84.426508
122.57398	2.7098216
200.25251	32.844654
229.03155	96.128016
240.48475	37.555938
184.36687	123.622
243.60536	98.089924
242.14283	41.951786
250.82799	59.973001
276.76336	164.88622
301.40595	64.64368
282.10562	120.66525
265.25882	106.77431
344.27809	105.44727
297.39703	89.380101
310.49261	109.23564
387.67364	153.57722
384.9852	50.959453
438.88554	100.12571
466.19308	116.79418
425.27122	70.015634
515.70428	63.781996
484.37849	118.98482
476.55928	33.29839
479.82481	-17.536214
447.70074	47.494348
537.59027	6.6485062
482.71596	91.79196
565.15972	68.079532
545.43366	101.7049
531.9419	15.1165
550.40775	4.1503875
561.25165	94.622345
524.29302	64.851907
553.15445	77.935927
641.32867	127.82356
639.42309	119.44198
625.37317	133.79804
669.89746	156.69379
562.10357	141.848
628.0446	55.965517
563.60379	69.89345
594.4821	21.651759
524.53171	41.579521
54.51705	441.02802
134.82677	452.60659
135.66035	450.22511
103.32507	419.44677
105.7202	362.1548
97.259813	393.22112
89.374743	439.4127
37.916371	493.36027
25.914568	401.89708
74.158891	420.09078
-15.979353	502.44249
21.612097	491.12621
24.061031	448.4026
88.267379	490.34604
53.411896	554.66463
30.275345	553.41725
46.385066	480.51497
143.82429	502.84106
210.98146	468.56034
243.68173	540.82019
225.38833	520.13945
205.41361	427.43377
91.525521	506.90436
75.994009	444.31853
-26.181693	469.30318
-3.1067664	483.07897
1.7388602	502.63596
-38.169622	419.35076
36.387666	471.98996
226.04513	473.15316
271.72161	529.65324
292.17665	451.26169
377.84432	499.88676
207.90546	490.35549
219.622	468.06577
220.24683	528.18055
239.64462	425.6048
121.2114	472.89789
186.40139	479.84311
146.4291	441.54374
234.76978	545.85178
221.48105	499.02636
247.87947	478.52265
193.97256	421.76301
187.1411	433.51186
186.67725	453.96534
164.51222	539.24391
217.36683	497.97502
128.98095	477.3674
107.9907	465.3172
78.187048	440.94047
47.514826	499.01373
80.026634	458.65793
78.27783	526.80652
127.08245	499.50817
269.90605	543.45946
331.30532	466.13412
354.67084	482.45068
330.25334	493.2541
243.36404	498.38973
313.57487	514.45777
314.06379	445.40273
434.14632	502.87772
425.41322	512.27324
413.99467	533.11042
430.54118	504.32516
436.42581	541.08367
374.16475	458.51075
428.99857	522.39044
447.96541	469.00485
473.86877	531.89135
397.82001	511.10964
473.65726	423.61202
563.14689	545.46272
712.27368	441.05893
784.44169	512.48829
761.0068	538.99928
800.7741	524.74258
712.88641	472.88459
712.01886	335.81769
706.69099	304.92154
708.0564	247.90244
600.14514	305.81169
616.74809	317.26639
613.65106	338.03638
610.47214	209.41413
690.14046	292.57549
677.02051	361.36573
647.23982	308.93915
650.67079	317.78873
694.01238	301.17912
681.37254	278.46382
590.26435	222.12291
537.7384	239.49098
518.14604	214.59647
583.99228	166.4796
472.43372	193.46295
703.54071	376.94756
806.49976	462.06651
847.45675	396.72982
1241.2681	547.30365
1199.0584	516.48355
1255.5322	523.19695
1132.1146	535.14821
1072.3652	542.67573
1077.8956	428.61872
953.28665	443.04635
989.8527	421.13212
858.18834	328.99123
872.16656	335.7788
745.66643	320.9396
712.71831	327.08962
664.59558	349.76582
735.74951	325.38916
713.92504	371.29814
696.56506	316.93123
731.04904	344.77507
738.19486	367.63754
805.80574	419.26017
1017.9958	388.13687
1038.357	387.50065
1174.2071	348.8306
1169.8528	324.52417
1183.3473	407.22286
1136.7355	306.52471
1175.4423	355.12873
1120.119	309.89235
985.1236	235.56241
969.49612	364.94552
916.02054	306.76063
911.67169	308.47041
827.77709	302.4117
942.40494	343.38072
865.17095	296.55915
867.64932	315.67215
1034.9298	320.43998
1196.8306	292.13527
1193.3528	405.66247
1240.9598	415.27556
1244.79	363.35178
1193.1832	352.6161
1179.1294	318.09776
1173.181	372.74284
1103.6977	297.93192
1022.15	267.91297
1028.0349	242.89789
1001.5439	279.89748
894.76581	297.23777
983.80144	286.57802
894.93428	286.63534
1008.4405	267.6356
1138.7697	237.79657
1108.8353	294.25211
1079.7664	280.97227
1165.9858	274.7722
1057.9015	237.25928
1147.7186	232.14046
918.72485	208.81069
1020.0552	264.24391
983.83029	286.50878
919.89479	214.89316
1101.9547	288.63092
1056.3444	294.52205
1200.0496	254.10104
1308.0187	283.03731
1301.0625	305.87015
1501.4938	321.79541
1483.366	347.55817
1524.9461	350.08581
1565.5258	347.08
1524.3829	338.25111
1449.2682	287.76729
1365.3059	309.28567
1336.785	301.12936
1313.1732	294.88853
1308.5147	366.11259
1277.2687	365.90735
1263.6934	239.51356
1419.031	254.41276
1378.3685	204.12398
1405.6771	255.3916
1422.303	254.20966
1294.6282	260.40308
1207.2904	324.84812
1241.3873	387.38271
1238.8527	266.41451
1413.051	176.8554
1416.3684	177.20122
1565.4997	177.86115
1516.2709	131.5901
1441.0182	174.0985
1477.9663	266.42441
1400.4717	215.65436
1385.0532	199.14492
1421.423	207.30226
1356.6219	276.7394
1432.394	306.38637
1397.3796	193.26215
1383.0859	166.05329
1387.4189	198.75544
1428.1533	226.95688
1416.5853	207.99503
1326.1398	223.42429
1347.9759	258.09023
1299.5215	336.43098
1307.2043	325.05256
1292.8895	252.65757
1316.3131	216.7878
1287.4005	336.74434
1360.1176	298.77594
1429.1619	156.09704
1532.1883	151.92723
1425.6671	129.80324
1479.0443	113.69113
1439.9271	199.41335
1372.3396	258.26063
1392.4055	283.63769
1402.6463	200.7845
1392.2539	143.44361
1419.6596	100.68544
1438.2308	133.3787
1335.3077	271.55112
1322.8742	278.46448
1395.613	267.90553
1294.2073	327.39716
1328.366	347.90177
1321.3028	269.72546
1372.7472	272.62461
1380.0199	296.79769
1282.5038	238.89544
1384.9928	294.61394
1362.7465	260.95296
1411.6503	186.28961
1401.7487	226.69734
1421.9713	237.37772
1460.1834	153.7654
1442.7238	125.52422
1385.9774	74.692122
1472.3214	105.80173
1362.9795	170.0319
1472.7298	140.04449
1388.5021	201.70957
1429.1426	195.39758
1388.4508	264.17635
1422.3252	186.65688
1375.2861	247.16838
1479.5784	191.35364
1404.7098	104.09508
1417.9159	171.3249
1474.1391	132.12398
1459.8938	242.59209
1478.7339	266.41427
1429.9059	322.40415
1361.3942	288.16789
1409.2658	266.19337
1459.4478	343.99986
1355.2342	324.54629
1399.0059	333.53925
1459.8296	335.38074
1439.0987	272.02927
1379.94	359.93126
1368.8092	396.66229
1377.9571	377.07081
1369.4629	390.86207
1481.5427	408.70881
1439.51	385.18989
1371.3296	338.046
1461.3312	367.12714
1444.7313	368.96717
1454.2207	435.50315
1358.2359	450.01422
1412.6108	438.54828
1460.946	418.83172
1392.6647	371.57612
1442.5121	444.05737
1403.5882	438.2843
1399.7595	452.36587
1435.3673	422.56836
1412.1326	424.5313
1311.3082	444.15361
1335.7843	481.97082
1403.2073	418.49799
1361.2221	501.81804
1363.1134	442.33931
1351.3598	395.20107
1337.0746	429.72202
1408.0414	442.97793
1350.9789	366.42929
1345.7844	497.46358
1396.5257	467.48299
1402.4138	482.22954
1339.2702	386.64079
1375.589	446.42883
1318.1875	380.76524
1322.6774	376.58207
1327.5371	496.37023
1265.1964	425.80104
1319.5185	454.81721
1319.319	455.7492
1321.6581	416.86635
1296.6687	389.79461
1243.101	460.66446
1289.439	470.90341
1251.7526	377.88496
1310.8567	471.80153
1281.5554	482.50413
1282.4814	422.00757
1331.7364	407.60344
1556.1873	-72.38007
1553.0495	-83.850414
1546.9997	-58.126721
1538.8794	-62.660985
1552.4806	-78.192694
1565.451	-61.585393
1555.585	-42.337763
1535.9306	-66.341923
1536.1189	-52.804749
1531.5498	-51.306227
1550.6456	-55.837322
1531.0614	-51.661987
1531.693	-46.717387
1523.4854	-43.201732
1513.8105	-23.298724
1503.9356	-27.289393
1511.0928	-15.516042
1499.2372	-3.4371405
1506.0175	1.95329
1495.2812	-7.7989189
1510.9036	-5.1316806
1495.1905	-10.011506
1487.1745	-0.36606729
1500.5597	12.395468
1477.0717	5.6004789
1494.1136	10.735901
1459.5017	35.880477
1479.5634	17.951918
1469.8569	32.754357
1437.5826	59.658612
1458.0811	61.622895
1447.9235	78.251538
1417.6329	84.343315
1421.5404	104.7383
1404.5012	88.997563
1404.1626	93.467633
1406.8069	119.52759
1402.5042	113.06003
1410.0661	105.45946
1400.8565	127.85346
1402.2662	124.97969
1394.0743	147.54309
1394.7506	141.39072
1373.2165	129.38916
1372.0314	141.45195
1351.4771	142.72749
1361.272	138.41622
1360.4862	139.10647
1343.1732	167.69989
1317.6267	161.65863
1324.2048	170.144
1303.3451	165.78337
1305.7695	176.86187
1298.0636	182.66217
1276.5614	186.00067
1271.4062	201.06167
1237.7919	207.52235
1236.5298	205.62289
1243.8779	205.03312
1225.797	209.12275
1221.1475	223.47037
1239.4853	206.76371
1228.5811	226.94505
1219.4611	216.54597
1196.8135	230.33389
1194.7238	214.76318
1179.2433	218.22382
1177.4243	230.77235
1186.4349	225.54163
1180.2296	247.08727
1176.6137	241.55784
1166.3202	241.65854
1170.5431	260.43713
1143.0924	262.164
1140.7614	256.85606
1136.8887	244.29114
1136.259	263.50771
1139.1227	247.95915
1112.5252	258.09005
1558.0502	74.486045
1536.1023	106.21976
1521.9666	161.5116
1522.9369	89.443716
1473.0232	120.26851
1532.6974	124.44481
1463.1772	198.01889
1477.6031	153.24422
1514.2437	182.02199
1508.2229	240.90179
1477.754	220.49711
1455.1048	226.28717
1500.606	245.65198
1491.1428	214.60489
1520.9764	237.22331
1477.5664	235.20473
1493.722	289.56208
1501.2717	261.12829
1471.7708	272.24315
1461.326	317.32261
1550.6673	320.07336
1468.6716	320.72927
1494.5717	331.26366
1496.5583	344.30328
1532.4395	392.96532
1530.1527	386.17195
1526.5692	375.04786
1555.9911	499.47902
1522.9733	467.94963
1536.2156	431.39001
1540.8026	512.53455
1499.1024	483.96569
1515.6527	499.15509
1508.7674	484.41811
1507.7609	489.29814
1515.2741	479.42622
1523.5078	516.88196
1514.2938	488.16169
1479.5559	511.99459
1477.4963	521.30362
1476.5473	499.65164
1498.1525	498.62365
1452.6042	507.73147
1418.6468	477.55198
1432.2885	501.61487
1415.6006	504.86713
1461.3871	499.13285
1444.1513	441.87794
1433.5564	469.19505
1441.3323	448.12242
1395.5479	524.50031
1392.2355	509.41495
1338.5955	484.38104
1397.6327	464.29657
1395.4943	494.4515
1369.0702	463.50714
1361.6103	499.24392
1380.8555	478.00495
1364.2178	479.20426
1341.1205	487.04781
1303.6174	438.44407
1326.9616	506.57379
1320.3898	495.76236
1286.6695	436.13119
1351.2588	476.11824
1309.2577	436.21186
607.25008	90.116789
596.90697	93.97208
595.33613	120.42774
602.6973	144.97869
612.50667	132.21999
626.11443	151.15089
596.81982	163.52646
614.47435	170.89091
611.83145	173.74161
605.46136	185.15208
627.66231	174.5955
635.40871	225.14142
651.43165	241.77156
657.82738	201.55632
669.37378	213.53867
660.19113	262.02966
687.87559	274.28736
685.03661	242.113
696.83534	265.87569
703.60787	281.49689
731.01281	264.9823
703.15129	283.45389
746.5316	261.93886
751.50782	277.36162
728.47897	261.79462
738.09842	263.61434
743.67787	299.81431
